timestamp,utilization_gpu,memory_used,power_draw
2026/09/20 13:15:24.124, 9, 2438, 36.01
2026/09/20 13:15:25.128, 23, 2604, 36.01
2026/09/20 13:15:26.129, 10, 2604, 35.10
2026/09/20 13:15:27.129, 31, 2604, 35.10
2026/09/20 13:15:28.129, 9, 2700, 35.10
2026/09/20 13:15:29.129, 22, 2700, 35.10
2026/09/20 13:15:30.129, 9, 2700, 35.10
2026/09/20 13:15:31.129, 22, 2764, 35.10
2026/09/20 13:15:32.129, 9, 2764, 35.10
2026/09/20 13:15:33.130, 28, 2764, 33.73
2026/09/20 13:15:34.130, 9, 2828, 33.85
2026/09/20 13:15:35.130, 23, 1990, 33.85
2026/09/20 13:15:36.130, 9, 1990, 33.85
2026/09/20 13:15:37.130, 10, 1990, 33.85
2026/09/20 13:15:38.130, 10, 1990, 33.85
2026/09/20 13:15:39.130, 10, 1990, 33.85
2026/09/20 13:15:40.131, 9, 1990, 33.85
2026/09/20 13:15:41.131, 10, 1990, 33.85
2026/09/20 13:15:42.131, 10, 1990, 32.90
2026/09/20 13:15:43.131, 10, 1990, 32.90
2026/09/20 13:15:44.131, 10, 2054, 32.90
2026/09/20 13:15:45.131, 9, 2054, 32.90
2026/09/20 13:15:46.131, 9, 2118, 32.90
2026/09/20 13:15:47.132, 9, 2150, 32.90
2026/09/20 13:15:48.132, 9, 2182, 32.90
2026/09/20 13:15:49.132, 9, 2182, 32.90
2026/09/20 13:15:50.132, 9, 2182, 32.96
2026/09/20 13:15:51.132, 9, 2182, 32.96
2026/09/20 13:15:52.132, 9, 2182, 32.96
2026/09/20 13:15:53.133, 9, 2182, 32.96
2026/09/20 13:15:54.133, 9, 2214, 32.96
2026/09/20 13:15:55.133, 9, 2214, 32.96
2026/09/20 13:15:56.133, 9, 2214, 32.96
2026/09/20 13:15:57.133, 9, 2214, 32.96
2026/09/20 13:15:58.133, 9, 2214, 33.23
2026/09/20 13:15:59.134, 9, 2214, 33.23
2026/09/20 13:16:00.134, 9, 2278, 33.23
2026/09/20 13:16:01.134, 9, 2278, 33.23
2026/09/20 13:16:02.134, 9, 2278, 33.23
2026/09/20 13:16:03.134, 9, 2278, 33.23
2026/09/20 13:16:04.134, 9, 2278, 33.23
2026/09/20 13:16:05.134, 9, 2278, 33.23
2026/09/20 13:16:06.135, 9, 2278, 33.21
2026/09/20 13:16:07.135, 9, 2278, 33.21
2026/09/20 13:16:08.135, 10, 2278, 33.21
2026/09/20 13:16:09.135, 9, 2278, 33.21
2026/09/20 13:16:10.135, 9, 2278, 33.21
2026/09/20 13:16:11.135, 9, 2278, 33.21
2026/09/20 13:16:12.136, 9, 2278, 33.21
2026/09/20 13:16:13.136, 9, 2278, 33.21
2026/09/20 13:16:14.136, 9, 2278, 33.24
2026/09/20 13:16:15.136, 9, 2278, 33.24
2026/09/20 13:16:16.136, 9, 2278, 33.24
2026/09/20 13:16:17.136, 9, 2278, 33.24
2026/09/20 13:16:18.136, 9, 2278, 33.24
2026/09/20 13:16:19.137, 9, 2278, 33.24
2026/09/20 13:16:20.137, 9, 2278, 33.24
2026/09/20 13:16:21.137, 9, 2278, 33.24
2026/09/20 13:16:22.137, 9, 2278, 34.03
2026/09/20 13:16:23.137, 9, 2278, 34.03
2026/09/20 13:16:24.137, 9, 2278, 34.03
2026/09/20 13:16:25.137, 9, 2278, 34.03
2026/09/20 13:16:26.138, 9, 2438, 34.03
2026/09/20 13:16:27.138, 9, 2438, 34.03
2026/09/20 13:16:28.138, 9, 2438, 34.03
2026/09/20 13:16:29.138, 9, 2438, 34.03
2026/09/20 13:16:30.138, 9, 2438, 33.19
2026/09/20 13:16:31.138, 10, 2438, 33.19
2026/09/20 13:16:32.139, 9, 2438, 33.19
2026/09/20 13:16:33.139, 9, 2438, 33.19
2026/09/20 13:16:34.139, 9, 2438, 33.19
2026/09/20 13:16:35.139, 9, 2438, 33.19
2026/09/20 13:16:36.139, 9, 2438, 33.19
2026/09/20 13:16:37.139, 9, 2438, 33.19
2026/09/20 13:16:38.139, 9, 2438, 33.36
2026/09/20 13:16:39.140, 10, 2438, 33.36
2026/09/20 13:16:40.140, 9, 2438, 33.36
2026/09/20 13:16:41.140, 9, 2438, 33.36
2026/09/20 13:16:42.140, 10, 2438, 33.36
2026/09/20 13:16:43.140, 10, 2438, 33.36
2026/09/20 13:16:44.140, 9, 2438, 33.36
2026/09/20 13:16:45.140, 9, 2438, 33.36
2026/09/20 13:16:46.141, 10, 2438, 33.88
2026/09/20 13:16:47.141, 9, 2438, 33.88
2026/09/20 13:16:48.141, 9, 2438, 33.88
2026/09/20 13:16:49.141, 9, 2438, 33.88
