step,d_loss,g_loss,elapsed_seconds
198,0.002822,0.866977,215.230
199,0.014567,0.239568,216.251
200,0.002225,0.194177,217.272
201,0.001443,0.264226,218.298
202,0.000849,0.478872,219.309
203,0.000927,0.683401,220.323
204,0.000566,0.796795,221.369
205,0.002687,1.042268,222.429
206,0.002240,0.915832,223.467
207,0.001369,0.961252,224.502
208,0.000993,1.075028,225.523
209,0.001445,1.219469,226.562
210,0.001530,1.335806,227.591
211,0.001068,1.450374,228.605
212,0.000862,1.805437,229.628
213,0.001195,1.974033,230.660
214,0.002233,2.161677,231.712
215,0.000816,2.205583,232.780
216,0.005434,1.512007,234.793
217,0.001866,1.601835,236.895
218,0.002332,1.875503,238.284
219,0.002081,2.080515,239.593
220,0.000813,2.297980,240.850
221,0.000712,2.524507,241.996
222,0.001708,2.507869,243.054
223,0.001972,2.369895,244.068
224,0.002035,2.375433,245.100
225,0.001538,2.565439,246.071
226,0.000845,2.839005,247.020
227,0.001711,3.183654,247.991
228,0.001923,3.315411,248.943
229,0.001149,3.395120,249.907
230,0.001091,3.545329,250.881
231,0.005285,2.812135,251.884
232,0.001351,2.739603,252.886
233,0.002862,2.730955,253.889
234,0.001246,3.080724,254.922
235,0.003889,3.408226,255.927
236,0.001445,3.722436,256.938
237,0.001086,3.903874,257.959
238,0.001105,4.165831,259.000
239,0.001754,4.148669,260.012
240,0.003397,4.152002,261.310
241,0.000873,4.326989,263.274
242,0.001335,4.649462,265.057
243,0.000815,4.979401,266.313
244,0.001727,5.097091,267.628
245,0.001494,5.028525,268.928
246,0.001113,5.033026,270.058
247,0.000647,5.159703,271.146
248,0.001888,5.083647,272.178
249,0.000861,5.174804,273.231
